dia,colonia_A,colonia_B,colonia_C,nascimentos,mortes,folhas,frutos
581,33,1,4,248,333,1.0,0.8999999999999873
582,33,1,4,248,333,1.0,1.1999999999999873
583,33,1,4,248,333,1.0,0.4999999999999873
584,33,1,4,248,333,1.0,0.7999999999999873
585,33,1,4,248,333,1.0,1.0999999999999872
586,33,1,4,248,333,1.0,0.3999999999999872
587,33,1,4,248,333,1.0,0.6999999999999872
588,33,1,4,248,333,1.0,0.9999999999999871
589,33,1,4,248,333,1.0,1.2999999999999872
590,33,1,4,248,333,1.0,0.5999999999999872
591,33,1,4,248,333,1.0,0.8999999999999873
592,34,1,4,249,333,1.0,1.1999999999999873
593,34,1,4,249,333,1.0,0.4999999999999873
594,34,1,4,249,333,1.0,0.7999999999999873
595,34,1,4,249,333,1.0,1.0999999999999872
596,34,1,4,249,333,1.0,0.3999999999999872
597,34,1,4,249,333,1.0,0.6999999999999872
598,34,1,4,249,333,1.0,0.9999999999999871
599,34,1,4,249,333,1.0,1.2999999999999872
600,34,1,4,249,333,1.0,0.5999999999999872
601,34,1,4,249,333,1.0,0.8999999999999873
602,34,1,4,249,333,1.0,1.1999999999999873
603,34,1,3,249,334,1.0,0.4999999999999873
604,34,1,3,249,334,1.0,0.7999999999999873
605,34,1,3,249,334,1.0,1.0999999999999872
606,34,1,3,249,334,1.0,0.3999999999999872
607,34,1,3,249,334,1.0,0.6999999999999872
608,34,1,3,249,334,1.0,0.9999999999999871
609,34,1,3,249,334,1.0,1.2999999999999872
610,34,1,3,249,334,1.0,0.5999999999999872
611,34,1,3,249,334,1.0,0.8999999999999873
612,34,1,3,249,334,1.0,1.1999999999999873
613,34,1,3,249,334,1.0,0.4999999999999873
614,34,1,3,249,334,1.0,0.7999999999999873
615,34,1,3,249,334,1.0,1.0999999999999872
616,34,1,3,249,334,1.0,0.3999999999999872
617,34,1,3,249,334,1.0,0.6999999999999872
618,34,1,3,249,334,1.0,0.9999999999999871
619,34,1,3,249,334,1.0,1.2999999999999872
620,34,0,3,249,335,1.0,0.5999999999999872
621,34,0,3,249,335,1.0,0.8999999999999873
622,34,0,3,249,335,1.0,1.1999999999999873
623,35,0,3,250,335,1.0,0.4999999999999873
624,35,0,3,250,335,1.0,0.7999999999999873
625,35,0,3,250,335,1.0,1.0999999999999872
626,35,0,3,250,335,1.0,0.3999999999999872
627,35,0,3,250,335,1.0,0.6999999999999872
628,35,0,3,250,335,1.0,0.9999999999999871
629,35,0,3,250,335,1.0,1.2999999999999872
630,35,0,3,250,335,1.0,0.5999999999999872
631,35,0,3,250,335,1.0,0.8999999999999873
632,36,0,3,251,335,1.0,1.1999999999999873
633,36,0,3,251,335,1.0,0.4999999999999873
634,36,0,3,251,335,1.0,0.7999999999999873
635,37,0,3,252,335,1.0,1.0999999999999872
636,37,0,3,252,335,1.0,0.3999999999999872
637,37,0,2,252,336,1.0,0.6999999999999872
638,37,0,2,252,336,1.0,0.9999999999999871
639,37,0,2,252,336,1.0,1.2999999999999872
640,37,0,1,252,337,1.0,0.5999999999999872
641,37,0,1,252,337,1.0,0.8999999999999873
642,37,0,1,252,337,1.0,1.1999999999999873
643,37,0,1,252,337,1.0,0.4999999999999873
644,37,0,1,252,337,1.0,0.7999999999999873
645,37,0,1,252,337,1.0,1.0999999999999872
646,37,0,1,252,337,1.0,0.3999999999999872
647,37,0,1,252,337,1.0,0.6999999999999872
648,37,0,1,252,337,1.0,0.9999999999999871
649,37,0,1,252,337,1.0,1.2999999999999872
650,37,0,1,252,337,1.0,0.5999999999999872
651,37,0,1,252,337,1.0,0.8999999999999873
652,37,0,1,252,337,1.0,1.1999999999999873
653,37,0,1,252,337,1.0,0.4999999999999873
654,37,0,1,252,337,1.0,0.7999999999999873
655,37,0,1,252,337,1.0,1.0999999999999872
656,37,0,1,252,337,1.0,0.3999999999999872
657,37,0,0,252,338,1.0,0.6999999999999872
658,37,0,0,252,338,1.0,0.9999999999999871
659,37,0,0,252,338,1.0,1.2999999999999872
660,37,0,0,252,338,1.0,0.5999999999999872
661,37,0,0,252,338,1.0,0.8999999999999873
662,37,0,0,252,338,1.0,1.1999999999999873
663,38,0,0,253,338,1.0,0.4999999999999873
664,38,0,0,253,338,1.0,0.7999999999999873
665,38,0,0,253,338,1.0,1.0999999999999872
666,38,0,0,253,338,1.0,0.3999999999999872
667,38,0,0,253,338,1.0,0.6999999999999872
668,38,0,0,253,338,1.0,0.9999999999999871
669,38,0,0,253,338,1.0,1.2999999999999872
670,38,0,0,253,338,1.0,0.5999999999999872
671,38,0,0,253,338,1.0,0.8999999999999873
672,38,0,0,253,338,1.0,1.1999999999999873
673,38,0,0,253,338,1.0,0.4999999999999873
674,38,0,0,253,338,1.0,0.7999999999999873
675,38,0,0,253,338,1.0,1.0999999999999872
676,38,0,0,253,338,1.0,0.3999999999999872
677,38,0,0,253,338,1.0,0.6999999999999872
678,38,0,0,253,338,1.0,0.9999999999999871
679,38,0,0,253,338,1.0,1.2999999999999872
680,38,0,0,253,338,1.0,0.5999999999999872
681,38,0,0,253,338,1.0,0.8999999999999873
682,38,0,0,253,338,1.0,1.1999999999999873
683,38,0,0,253,338,1.0,0.4999999999999873
684,38,0,0,253,338,1.0,0.7999999999999873
685,38,0,0,253,338,1.0,1.0999999999999872
686,38,0,0,253,338,1.0,0.3999999999999872
687,38,0,0,253,338,1.0,0.6999999999999872
688,38,0,0,253,338,1.0,0.9999999999999871
689,38,0,0,253,338,1.0,1.2999999999999872
690,38,0,0,253,338,1.0,0.5999999999999872
691,38,0,0,253,338,1.0,0.8999999999999873
692,38,0,0,253,338,1.0,1.1999999999999873
693,38,0,0,253,338,1.0,0.4999999999999873
694,38,0,0,253,338,1.0,0.7999999999999873
695,40,0,0,255,338,1.0,1.0999999999999872
696,40,0,0,255,338,1.0,0.3999999999999872
697,40,0,0,255,338,1.0,0.6999999999999872
698,40,0,0,255,338,1.0,0.9999999999999871
699,40,0,0,255,338,1.0,1.2999999999999872
700,40,0,0,255,338,1.0,0.5999999999999872
701,40,0,0,255,338,1.0,0.8999999999999873
702,40,0,0,255,338,1.0,1.1999999999999873
703,41,0,0,256,338,1.0,0.4999999999999873
704,41,0,0,256,338,1.0,0.7999999999999873
705,41,0,0,256,338,1.0,1.0999999999999872
706,42,0,0,257,338,1.0,0.3999999999999872
707,42,0,0,257,338,1.0,0.6999999999999872
708,42,0,0,257,338,1.0,0.9999999999999871
709,42,0,0,257,338,1.0,1.2999999999999872
710,41,0,0,257,339,1.0,0.5999999999999872
711,41,0,0,257,339,1.0,0.8999999999999873
712,41,0,0,257,339,1.0,1.1999999999999873
713,41,0,0,257,339,1.0,0.4999999999999873
714,41,0,0,257,339,1.0,0.7999999999999873
715,41,0,0,257,339,1.0,1.0999999999999872
716,41,0,0,257,339,1.0,0.3999999999999872
717,40,0,0,257,340,1.0,0.6999999999999872
718,39,0,0,257,341,1.0,0.9999999999999871
719,39,0,0,257,341,1.0,1.2999999999999872
720,39,0,0,257,341,1.0,0.5999999999999872
721,39,0,0,257,341,1.0,0.8999999999999873
722,39,0,0,257,341,1.0,1.1999999999999873
723,39,0,0,257,341,1.0,0.4999999999999873
724,39,0,0,257,341,1.0,0.7999999999999873
725,39,0,0,257,341,1.0,1.0999999999999872
726,39,0,0,257,341,1.0,0.3999999999999872
727,39,0,0,257,341,1.0,0.6999999999999872
728,39,0,0,257,341,1.0,0.9999999999999871
729,39,0,0,257,341,1.0,1.2999999999999872
730,39,0,0,257,341,1.0,0.5999999999999872
731,39,0,0,257,341,1.0,0.8999999999999873
732,39,0,0,257,341,1.0,1.1999999999999873
733,39,0,0,257,341,1.0,0.4999999999999873
734,39,0,0,257,341,1.0,0.7999999999999873
735,39,0,0,257,341,1.0,1.0999999999999872
736,39,0,0,257,341,1.0,0.3999999999999872
737,39,0,0,257,341,1.0,0.6999999999999872
738,39,0,0,257,341,1.0,0.9999999999999871
739,39,0,0,257,341,1.0,1.2999999999999872
740,39,0,0,257,341,1.0,0.5999999999999872
741,39,0,0,257,341,1.0,0.8999999999999873
742,40,0,0,258,341,1.0,1.1999999999999873
743,41,0,0,259,341,1.0,0.4999999999999873
744,41,0,0,259,341,1.0,0.7999999999999873
745,41,0,0,259,341,1.0,1.0999999999999872
746,42,0,0,260,341,1.0,0.3999999999999872
747,42,0,0,260,341,1.0,0.6999999999999872
748,42,0,0,260,341,1.0,0.9999999999999871
749,42,0,0,260,341,1.0,1.2999999999999872
750,41,0,0,260,342,1.0,0.5999999999999872
751,41,0,0,260,342,1.0,0.8999999999999873
